# BEGIN PLOT
Legend=1
LogY=1
Title=Distributions of the longitudinal momentum fraction of the hadron with respect to the jet.
XLabel=${z}$
YLabel=$\frac{1}{N_{\textrm{Z+jet}}} \frac{\textrm{d} N}{\textrm{d}z}$
YLabelSep=5.5
ErrorBars=1
NormalizeToIntegral=1
LogX=1
CustomLegend=${20} < p_{{\textrm{{T,jet}}}} < {30}$ GeV
DrawOnly=/LHCB_2019_I1730448/d01-x01-y01 //work/Rivet/Rivet.yoda/LHCB_2019_I1730448/d01-x01-y01
LegendOnly=/LHCB_2019_I1730448/d01-x01-y01 //work/Rivet/Rivet.yoda/LHCB_2019_I1730448/d01-x01-y01
RatioPlot=1
RatioPlotReference=/LHCB_2019_I1730448/d01-x01-y01
# END PLOT

# BEGIN HISTO1D /LHCB_2019_I1730448/d01-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/LHCB_2019_I1730448/d01-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
8.000000e-03	1.000000e-02	4.010000e+00	3.060000e-01	3.060000e-01
1.000000e-02	1.500000e-02	1.770000e+01	4.080000e-01	4.080000e-01
1.500000e-02	2.000000e-02	3.810000e+01	5.980000e-01	5.980000e-01
2.000000e-02	3.000000e-02	5.240000e+01	4.960000e-01	4.960000e-01
3.000000e-02	4.000000e-02	5.180000e+01	4.930000e-01	4.930000e-01
4.000000e-02	5.000000e-02	4.450000e+01	4.570000e-01	4.570000e-01
5.000000e-02	6.000000e-02	3.860000e+01	4.250000e-01	4.250000e-01
6.000000e-02	8.000000e-02	3.090000e+01	2.690000e-01	2.690000e-01
8.000000e-02	1.000000e-01	2.300000e+01	2.320000e-01	2.320000e-01
1.000000e-01	1.250000e-01	1.710000e+01	1.790000e-01	1.790000e-01
1.250000e-01	1.500000e-01	1.230000e+01	1.520000e-01	1.520000e-01
1.500000e-01	2.000000e-01	7.830000e+00	8.560000e-02	8.560000e-02
2.000000e-01	3.000000e-01	3.690000e+00	4.160000e-02	4.160000e-02
3.000000e-01	4.000000e-01	1.450000e+00	2.610000e-02	2.610000e-02
4.000000e-01	5.000000e-01	6.610000e-01	1.760000e-02	1.760000e-02
5.000000e-01	7.500000e-01	2.110000e-01	6.290000e-03	6.290000e-03
# END HISTO1D


# BEGIN HISTO1D //work/Rivet/Rivet.yoda/LHCB_2019_I1730448/d01-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//work/Rivet/Rivet.yoda/LHCB_2019_I1730448/d01-x01-y01
ScaledBy=2.73672687465790923e-04
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
8.000000e-03	1.000000e-02	6.841815e-01	3.059754e-01	3.059754e-01
1.000000e-02	1.500000e-02	4.761904e+00	5.105298e-01	5.105298e-01
1.500000e-02	2.000000e-02	7.991242e+00	6.613598e-01	6.613598e-01
2.000000e-02	3.000000e-02	1.116585e+01	5.527917e-01	5.527917e-01
3.000000e-02	4.000000e-02	1.045430e+01	5.348883e-01	5.348883e-01
4.000000e-02	5.000000e-02	8.292282e+00	4.763792e-01	4.763792e-01
5.000000e-02	6.000000e-02	8.347017e+00	4.779488e-01	4.779488e-01
6.000000e-02	8.000000e-02	6.568145e+00	2.997934e-01	2.997934e-01
8.000000e-02	1.000000e-01	4.625068e+00	2.515706e-01	2.515706e-01
1.000000e-01	1.250000e-01	3.076081e+00	1.835036e-01	1.835036e-01
1.250000e-01	1.500000e-01	2.452107e+00	1.638383e-01	1.638383e-01
1.500000e-01	2.000000e-01	1.450465e+00	8.910138e-02	8.910138e-02
2.000000e-01	3.000000e-01	6.923919e-01	4.353031e-02	4.353031e-02
3.000000e-01	4.000000e-01	2.599891e-01	2.667431e-02	2.667431e-02
4.000000e-01	5.000000e-01	1.094691e-01	1.730858e-02	1.730858e-02
5.000000e-01	7.500000e-01	3.721948e-02	6.383089e-03	6.383089e-03
# END HISTO1D

